City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Kanganpur,PK,30.7663,74.1231,55.74,42,0,4.81,clear sky
115,Kaniama,CD,-7.5667,24.1833,68.63,94,100,2.08,overcast clouds
116,Yellowknife,CA,62.456,-114.3525,-43.6,66,1,5.75,clear sky
117,Bredasdorp,ZA,-34.5322,20.0403,68.0,60,3,10.36,clear sky
118,Dunedin,NZ,-45.8742,170.5036,59.0,90,97,1.01,overcast clouds
119,Hay River,CA,60.8156,-115.7999,-36.4,67,31,3.44,scattered clouds
120,Koumac,NC,-20.5667,164.2833,76.62,75,100,0.4,overcast clouds
121,Sooke,CA,48.3746,-123.7276,45.0,62,48,25.32,scattered clouds
122,Ilulissat,GL,69.2167,-51.1,26.6,36,0,11.5,clear sky
123,Pacific Grove,US,36.6177,-121.9166,54.0,76,1,3.44,clear sky
124,Castro,BR,-24.7911,-50.0119,76.24,47,0,3.47,clear sky
125,Inverness,GB,57.4791,-4.224,30.99,86,40,6.91,scattered clouds
126,Villa Carlos Paz,AR,-31.4241,-64.4978,90.0,56,0,13.0,clear sky
127,Portree,GB,57.4129,-6.1942,32.0,71,0,1.01,clear sky
128,Salalah,OM,17.0151,54.0924,73.4,68,40,3.44,scattered clouds
129,Miri,MY,4.4148,114.0089,78.8,94,40,2.3,scattered clouds
130,Olafsvik,IS,64.8945,-23.7142,33.82,85,17,14.99,few clouds
131,Alta Floresta,BR,-9.8756,-56.0861,76.8,89,95,3.56,overcast clouds
132,Bathsheba,BB,13.2167,-59.5167,82.4,61,75,26.46,broken clouds
133,Pevek,RU,69.7008,170.3133,-6.0,86,0,2.13,clear sky
134,Quatre Cocos,MU,-20.2078,57.7625,80.6,74,75,6.91,broken clouds
135,Filadelfia,US,39.9523,-75.1638,34.0,93,90,6.91,snow
136,Okhotsk,RU,59.3833,143.3,12.67,89,100,21.27,overcast clouds
137,Sovetskiy,RU,61.3614,63.5842,-14.21,89,100,8.25,light snow
138,Westport,US,41.1415,-73.3579,30.99,86,90,12.66,snow
139,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,23.02,few clouds
140,Vilcun,CL,-38.65,-72.2333,71.6,73,75,6.91,broken clouds
141,Berlevag,NO,70.8578,29.0864,24.8,86,40,24.16,snow
142,Roald,NO,62.5833,6.1333,24.8,46,0,10.36,clear sky
143,Georgetown,MY,5.4112,100.3354,80.6,83,20,3.49,few clouds
144,Flin Flon,CA,54.7682,-101.865,-31.0,56,1,10.36,clear sky
145,Svetlaya,RU,46.5389,138.3297,1.29,84,100,11.86,overcast clouds
146,Mount Gambier,AU,-37.8333,140.7667,55.4,71,90,6.91,overcast clouds
147,Kruisfontein,ZA,-34.0033,24.7314,64.99,93,100,3.0,overcast clouds
148,Cabra,ES,37.4725,-4.4421,48.0,76,91,10.04,overcast clouds
149,Husavik,IS,66.0449,-17.3389,32.0,80,90,3.44,overcast clouds
150,Dhidhdhoo,MV,6.8833,73.1,81.36,74,66,9.75,broken clouds
151,Udachnyy,RU,66.4167,112.4,-25.37,84,100,6.08,overcast clouds
152,Fonte Boa,BR,-2.4959,-66.2662,87.91,66,98,3.62,overcast clouds
153,Pisco,PE,-13.7,-76.2167,75.2,83,40,9.22,scattered clouds
154,Marystown,CA,47.1666,-55.1483,31.1,88,2,29.57,clear sky
155,Tuatapere,NZ,-46.1333,167.6833,58.05,72,100,6.13,light rain
156,Carndonagh,IE,55.25,-7.2667,35.6,64,90,18.41,overcast clouds
157,Kenora,CA,49.8167,-94.4337,-20.0,57,1,10.36,clear sky
158,Leningradskiy,RU,69.3833,178.4167,-13.9,80,0,6.24,clear sky
159,Saint George,US,37.1041,-113.5841,52.0,36,1,3.44,clear sky
160,Carlibaba,RO,47.5833,25.1333,30.99,86,100,3.02,overcast clouds
161,Harper,LR,4.375,-7.7169,80.19,85,100,6.62,overcast clouds
162,Bozoum,CF,6.3193,16.3799,75.22,20,43,3.8,scattered clouds
163,Ambon,ID,-3.6954,128.1814,77.0,88,40,9.22,scattered clouds
164,Dire,ML,12.2833,-10.9667,85.46,15,9,4.99,clear sky
165,Morgan City,US,29.6994,-91.2068,63.0,67,1,12.66,clear sky
166,Belyy Yar,RU,53.6039,91.3903,6.8,92,20,4.32,smoke
167,Tumut,AU,-35.3,148.2167,59.0,88,0,4.61,clear sky
168,Traverse City,US,44.7631,-85.6206,8.01,72,75,12.66,light snow
169,Nerchinskiy Zavod,RU,51.3088,119.61,-20.74,86,0,2.48,clear sky
170,Evensk,RU,61.95,159.2333,18.18,84,100,33.38,overcast clouds
171,Valparaiso,CL,-33.0393,-71.6273,66.2,63,40,10.36,scattered clouds
172,Severo-Kurilsk,RU,50.6789,156.125,19.06,89,95,14.41,overcast clouds
173,Bilibino,RU,68.0546,166.4372,-0.81,73,2,6.13,clear sky
174,Slave Lake,CA,55.2834,-114.769,-27.4,68,1,6.91,clear sky
175,Lagoa,PT,39.05,-27.9833,57.76,74,100,20.76,overcast clouds
176,Omboue,GA,-1.5746,9.2618,79.34,84,100,5.39,light rain
177,Augusto Correa,BR,-1.0217,-46.635,84.33,71,16,7.43,few clouds
178,Kargopol,RU,61.5071,38.9456,-15.54,89,1,5.35,clear sky
179,Shanhetun,CN,44.7,127.2,-7.71,91,100,4.65,overcast clouds
180,Kallithea,GR,37.95,23.7,62.01,77,20,4.61,few clouds
181,Tutoia,BR,-2.7619,-42.2744,89.6,62,20,14.97,few clouds
182,Vestmannaeyjar,IS,63.4427,-20.2734,35.6,87,40,26.46,scattered clouds
183,Rozivka,UA,46.9385,35.7724,26.11,76,100,8.3,overcast clouds
184,Romny,UA,50.751,33.4747,3.9,93,100,3.0,overcast clouds
185,Remanso,BR,-9.6179,-42.0831,86.68,48,45,1.07,scattered clouds
186,Byron Bay,AU,-28.65,153.6167,75.2,78,75,10.36,broken clouds
187,Souillac,MU,-20.5167,57.5167,80.6,74,75,6.91,broken clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,75.99,64,40,8.05,scattered clouds
189,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,40,8.05,scattered clouds
190,Jumla,NP,29.2747,82.1838,35.44,58,0,6.13,clear sky
191,Terney,RU,45.0503,136.6092,-3.39,86,0,16.13,clear sky
192,Tura,IN,25.5198,90.2201,58.1,46,0,2.98,clear sky
193,Chuy,UY,-33.6971,-53.4616,75.25,62,1,9.93,clear sky
194,Carbondale,US,37.7273,-89.2168,21.0,53,1,4.61,clear sky
195,Aljezur,PT,37.3191,-8.8033,55.0,100,94,3.0,overcast clouds
196,Lasa,IT,46.6166,10.7002,39.99,100,90,4.61,mist
197,Jarocin,PL,51.9727,17.5026,21.0,72,100,5.99,overcast clouds
198,Lagdo,CM,9.05,13.7333,84.2,16,0,5.75,clear sky
199,Opuwo,NA,-18.0607,13.84,77.36,32,62,9.73,broken clouds
