City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Kalmunai,LK,77.22,few clouds,7.4167,81.8167,VS Villa
377,Manaus,BR,78.8,broken clouds,-3.1019,-60.025,Hotel do Largo
381,Cukai,MY,78.8,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
390,Puerto Narino,CO,84.2,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
393,Mackay,AU,78.8,overcast clouds,-21.15,149.2,International Lodge Motel
395,Ilo,PE,76.91,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
397,Neiafu,TO,77.0,light rain,-18.65,-173.9833,Mystic Sands
400,Porto Velho,BR,87.8,scattered clouds,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
402,Pochutla,MX,84.99,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
406,Talara,PE,89.6,clear sky,-4.5772,-81.2719,Hostal Oro Negro
417,Lola,GN,83.73,overcast clouds,7.8,-8.5333,
423,Buea,CM,84.2,scattered clouds,4.1527,9.241,Mountain Hotel
426,Wukari,NG,85.5,overcast clouds,7.85,9.7833,Elimtop
427,Mahibadhoo,MV,81.07,clear sky,3.7833,72.9667,Omadhoo Inn
429,Marsh Harbour,BS,78.04,clear sky,26.5412,-77.0636,Abaco Beach Resort
430,Mataram,ID,77.0,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
441,Mahajanga,MG,78.8,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
444,Patulul,GT,89.6,few clouds,14.4167,-91.1667,Hotel Moises
446,Meulaboh,ID,77.49,broken clouds,4.1363,96.1285,Kost Pria
447,Charters Towers,AU,76.96,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
451,Bowen,AU,78.8,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
454,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
455,Totness,SR,81.18,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
459,Itaqui,BR,88.32,clear sky,-29.1253,-56.5531,Biasi
460,Pinheiro Machado,BR,84.0,clear sky,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
461,Kununurra,AU,78.8,moderate rain,-15.7667,128.7333,Hotel Kununurra
462,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
464,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
465,Muisne,EC,84.2,light rain,0.6,-80.0333,Quinta Samay
466,Rocha,UY,75.7,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
467,Olavarria,AR,80.01,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
474,Talavera,PH,75.2,scattered clouds,15.6167,120.9333,R&G's Resort
476,Key West,US,80.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
